날짜,CPI,금리,환율
2000-01-01,1.9,9.28,1123.2
2000-02-01,1.8,8.99,1131.0
2000-03-01,2.1,9.06,1106.0
2000-04-01,1.4,8.95,1109.1
2000-05-01,1.1,8.96,1129.4
2000-06-01,2.2,8.66,1115.0
2000-07-01,3.0,8.0,1116.7
2000-08-01,2.4,7.85,1108.8
2000-09-01,3.5,7.96,1115.1
2000-10-01,2.6,7.84,1139.0
2000-11-01,2.2,7.31,1214.3
2000-12-01,2.8,6.79,1264.5
2001-01-01,3.4,5.99,1259.0
2001-02-01,3.6,5.43,1250.8
2001-03-01,4.0,5.84,1327.5
2001-04-01,4.8,6.59,1319.7
2001-05-01,5.3,6.46,1282.7
2001-06-01,5.0,6.04,1297.5
2001-07-01,4.8,5.75,1300.0
2001-08-01,4.7,5.15,1278.0
2001-09-01,3.3,4.89,1309.6
2001-10-01,3.4,4.74,1296.1
2001-11-01,3.4,5.34,1273.0
2001-12-01,3.2,5.93,1313.5
2002-01-01,2.6,6.08,1314.4
2002-02-01,2.6,5.92,1323.8
2002-03-01,2.3,6.3,1325.9
2002-04-01,2.5,6.47,1294.0
2002-05-01,3.0,6.3,1226.3
2002-06-01,2.6,5.93,1201.3
2002-07-01,2.1,5.7,1188.0
2002-08-01,2.4,5.37,1201.9
2002-09-01,3.1,5.37,1227.8
2002-10-01,2.8,5.39,1221.6
2002-11-01,3.5,5.29,1208.8
2002-12-01,3.7,5.28,1186.2
2003-01-01,3.8,4.96,1070.1
2003-02-01,3.9,4.73,1193.7
2003-03-01,4.5,4.78,1254.6
2003-04-01,3.7,4.6,1215.3
2003-05-01,3.2,4.27,1205.9
2003-06-01,3.0,4.07,1293.0
2003-07-01,3.2,4.37,1179.7
2003-08-01,3.0,4.62,1178.2
2003-09-01,3.3,4.25,1150.1
2003-10-01,3.7,4.28,1183.1
2003-11-01,3.4,4.77,1202.1
2003-12-01,3.4,4.87,1192.6
2004-01-01,3.4,4.88,1173.7
2004-02-01,3.3,4.83,1176.2
2004-03-01,3.1,4.58,1146.6
2004-04-01,3.3,4.54,1173.3
2004-05-01,3.3,4.39,1160.1
2004-06-01,3.6,4.28,1155.5
2004-07-01,4.4,4.19,1170.0
2004-08-01,4.8,3.82,1153.0
2004-09-01,3.9,3.59,1151.8
2004-10-01,3.8,3.54,1119.6
2004-11-01,3.3,3.42,1048.2
2004-12-01,3.0,3.28,1035.1
2005-01-01,3.4,3.65,1025.6
2005-02-01,3.4,4.19,1006.0
2005-03-01,3.0,4.04,1015.5
2005-04-01,3.1,3.86,1002.8
2005-05-01,3.1,3.71,1007.7
2005-06-01,2.8,3.79,1025.4
2005-07-01,2.6,4.12,1026.8
2005-08-01,2.0,4.33,1038.5
2005-09-01,2.5,4.52,1041.1
2005-10-01,2.3,4.81,1040.2
2005-11-01,2.5,5.1,1033.5
2005-12-01,2.6,5.06,1011.6
2006-01-01,2.2,5.02,964.6
2006-02-01,2.0,4.87,970.9
2006-03-01,2.0,4.93,971.6
2006-04-01,2.0,4.95,943.4
2006-05-01,2.3,4.78,945.6
2006-06-01,2.4,4.89,948.9
2006-07-01,2.4,4.89,955.2
2006-08-01,2.7,4.77,961.4
2006-09-01,2.5,4.69,946.2
2006-10-01,2.2,4.62,942.3
2006-11-01,2.1,4.72,929.5
2006-12-01,2.1,4.82,929.8
2007-01-01,1.7,4.97,941.0
2007-02-01,2.2,4.91,941.8
2007-03-01,2.2,4.79,940.9
2007-04-01,2.5,4.94,930.8
2007-05-01,2.3,5.1,927.7
2007-06-01,2.5,5.24,923.8
2007-07-01,2.5,5.35,919.3
2007-08-01,2.0,5.28,938.3
2007-09-01,2.3,5.39,915.1
2007-10-01,3.0,5.42,900.7
2007-11-01,3.5,5.54,921.1
2007-12-01,3.6,5.89,936.1
2008-01-01,3.9,5.44,943.9
2008-02-01,3.6,5.06,939.0
2008-03-01,3.9,5.15,990.4
2008-04-01,4.1,4.98,1002.6
2008-05-01,4.9,5.28,1030.1
2008-06-01,5.5,5.7,1046.0
2008-07-01,5.9,5.96,1012.2
2008-08-01,5.6,5.77,1089.0
2008-09-01,5.1,5.81,1207.0
2008-10-01,4.8,5.09,1291.0
2008-11-01,4.5,4.97,1469.0
2008-12-01,4.1,3.97,1259.5
2009-01-01,3.7,3.44,1379.5
2009-02-01,4.1,3.78,1534.0
2009-03-01,3.9,3.69,1383.5
2009-04-01,3.6,3.76,1282.0
2009-05-01,2.7,3.83,1255.0
2009-06-01,2.0,4.09,1273.9
2009-07-01,1.6,4.09,1228.5
2009-08-01,2.2,4.42,1248.9
2009-09-01,2.2,4.4,1178.1
2009-10-01,2.0,4.47,1182.5
2009-11-01,2.4,4.32,1162.8
2009-12-01,2.8,4.24,1164.5
2010-01-01,3.5,4.29,1161.8
2010-02-01,3.0,4.19,1160.0
2010-03-01,2.5,3.94,1131.3
2010-04-01,2.6,3.77,1108.4
2010-05-01,2.7,3.7,1202.5
2010-06-01,2.7,3.75,1222.2
2010-07-01,2.5,3.88,1182.7
2010-08-01,2.7,3.73,1198.1
2010-09-01,3.4,3.48,1140.2
2010-10-01,3.7,3.24,1125.3
2010-11-01,3.0,3.4,1159.7
2010-12-01,3.0,3.25,1134.8
2011-01-01,3.4,3.71,1121.5
2011-02-01,3.9,3.94,1128.7
2011-03-01,4.1,3.74,1096.7
2011-04-01,3.8,3.74,1071.5
2011-05-01,3.9,3.66,1079.2
2011-06-01,4.2,3.65,1067.7
2011-07-01,4.5,3.77,1054.5
2011-08-01,4.7,3.57,1066.8
2011-09-01,3.8,3.45,1178.1
2011-10-01,3.6,3.47,1110.0
2011-11-01,4.2,3.39,1143.0
2011-12-01,4.2,3.36,1151.0
2012-01-01,3.4,3.37,1123.0
2012-02-01,3.0,3.43,1118.0
2012-03-01,2.7,3.55,1133.0
2012-04-01,2.6,3.5,1130.0
2012-05-01,2.5,3.38,1180.0
2012-06-01,2.2,3.29,1145.0
2012-07-01,1.5,3.01,1130.0
2012-08-01,1.3,2.83,1134.0
2012-09-01,2.1,2.81,1111.4
2012-10-01,2.1,2.78,1090.7
2012-11-01,1.6,2.8,1082.9
2012-12-01,1.4,2.85,1070.6
2013-01-01,1.6,2.75,1089.0
2013-02-01,1.6,2.7,1083.0
2013-03-01,1.5,2.6,1111.0
2013-04-01,1.3,2.55,1101.0
2013-05-01,1.2,2.59,1129.7
2013-06-01,1.2,2.87,1142.0
2013-07-01,1.6,2.91,1123.5
2013-08-01,1.5,2.94,1110.0
2013-09-01,1.0,2.9,1074.7
2013-10-01,0.9,2.83,1060.7
2013-11-01,1.2,2.94,1058.2
2013-12-01,1.1,2.94,1055.4
2014-01-01,1.1,2.89,1070.4
2014-02-01,1.0,2.85,1067.5
2014-03-01,1.3,2.87,1064.7
2014-04-01,1.5,2.88,1033.2
2014-05-01,1.7,2.84,1020.1
2014-06-01,1.7,2.75,1011.8
2014-07-01,1.6,2.56,1027.9
2014-08-01,1.4,2.54,1014.0
2014-09-01,1.1,2.41,1055.2
2014-10-01,1.1,2.24,1068.5
2014-11-01,1.0,2.14,1107.9
2014-12-01,0.8,2.14,1099.3
2015-01-01,1.0,2.04,1093.5
2015-02-01,0.6,2.02,1098.4
2015-03-01,0.5,1.87,1109.5
2015-04-01,0.4,1.74,1072.4
2015-05-01,0.6,1.88,1108.2
2015-06-01,0.7,1.77,1115.5
2015-07-01,0.7,1.78,1170.0
2015-08-01,0.7,1.74,1182.5
2015-09-01,0.5,1.65,1185.3
2015-10-01,0.8,1.63,1140.1
2015-11-01,0.8,1.75,1158.1
2015-12-01,1.1,1.72,1172.5
2016-01-01,0.6,1.63,1199.1
2016-02-01,1.1,1.47,1236.7
2016-03-01,0.8,1.5,1143.5
2016-04-01,1.0,1.47,1139.3
2016-05-01,0.8,1.46,1191.7
2016-06-01,0.7,1.33,1151.8
2016-07-01,0.4,1.22,1120.2
2016-08-01,0.5,1.24,1114.8
2016-09-01,1.3,1.31,1101.3
2016-10-01,1.5,1.36,1144.5
2016-11-01,1.5,1.61,1169.1
2016-12-01,1.3,1.69,1207.7
2017-01-01,2.2,1.64,1162.1
2017-02-01,2.1,1.67,1130.7
2017-03-01,2.3,1.71,1118.4
2017-04-01,2.0,1.68,1137.9
2017-05-01,2.0,1.7,1119.5
2017-06-01,1.8,1.67,1144.1
2017-07-01,2.2,1.74,1119.0
2017-08-01,2.5,1.78,1127.8
2017-09-01,2.0,1.79,1145.4
2017-10-01,1.8,2.03,1120.4
2017-11-01,1.2,2.15,1088.2
2017-12-01,1.4,2.1,1070.5
2018-01-01,0.8,2.19,1067.9
2018-02-01,1.3,2.28,1082.8
2018-03-01,1.2,2.27,1063.5
2018-04-01,1.5,2.19,1068.0
2018-05-01,1.5,2.25,1077.7
2018-06-01,1.5,2.18,1114.5
2018-07-01,1.1,2.1,1118.7
2018-08-01,1.4,2.02,1112.9
2018-09-01,2.1,1.95,1109.3
2018-10-01,2.0,2.01,1139.6
2018-11-01,2.0,1.94,1121.2
2018-12-01,1.3,1.83,1115.7
2019-01-01,0.8,1.81,1112.7
2019-02-01,0.5,1.8,1124.7
2019-03-01,0.4,1.79,1135.1
2019-04-01,0.6,1.74,1168.2
2019-05-01,0.7,1.68,1190.9
2019-06-01,0.7,1.5,1154.7
2019-07-01,0.6,1.38,1183.1
2019-08-01,0.0,1.16,1211.2
2019-09-01,-0.4,1.29,1196.2
2019-10-01,0.0,1.36,1163.4
2019-11-01,0.2,1.49,1181.2
2019-12-01,0.7,1.39,1156.4
2020-01-01,1.2,1.37,1191.8
2020-02-01,0.9,1.25,1213.7
2020-03-01,0.8,1.09,1217.4
2020-04-01,0.0,1.02,1218.2
2020-05-01,-0.2,0.88,1238.5
2020-06-01,0.2,0.85,1203.0
2020-07-01,0.4,0.83,1191.3
2020-08-01,0.8,0.83,1187.8
2020-09-01,0.9,0.91,1169.5
2020-10-01,0.1,0.91,1135.1
2020-11-01,0.6,0.97,1106.5
2020-12-01,0.6,0.97,1086.3
2021-01-01,0.9,0.98,1118.8
2021-02-01,1.4,1.0,1123.5
2021-03-01,1.9,1.13,1131.8
2021-04-01,2.5,1.14,1112.3
2021-05-01,2.6,1.13,1110.9
2021-06-01,2.3,1.3,1126.1
2021-07-01,2.6,1.42,1150.3
2021-08-01,2.6,1.41,1159.5
2021-09-01,2.4,1.52,1184.0
2021-10-01,3.2,1.84,1168.6
2021-11-01,3.8,1.95,1187.9
2021-12-01,3.7,1.8,1188.8
2022-01-01,3.8,2.06,1205.5
2022-02-01,3.8,2.29,1202.3
2022-03-01,4.2,2.37,1212.1
2022-04-01,4.8,2.94,1255.9
2022-05-01,5.3,3.02,1237.2
2022-06-01,6.0,3.48,1298.4
2022-07-01,6.3,3.24,1299.1
2022-08-01,5.7,3.25,1337.6
2022-09-01,5.5,3.9,1430.2
2022-10-01,5.6,4.24,1424.3
2022-11-01,5.0,3.9,1318.8
2022-12-01,5.0,3.63,1264.5
2023-01-01,5.0,3.46,1231.9
2023-02-01,4.7,3.47,1322.6
2023-03-01,4.2,3.46,1301.9
2023-04-01,3.7,3.26,1337.7
2023-05-01,3.4,3.33,1327.2
2023-06-01,2.7,3.55,1317.7
2023-07-01,2.4,3.64,1274.6
2023-08-01,3.4,3.73,1321.8
2023-09-01,3.7,3.84,1349.3
2023-10-01,3.8,4.03,1350.5
2023-11-01,3.3,3.77,1290.0
2023-12-01,3.2,3.35,1288.0
2024-01-01,2.8,3.27,1334.6
2024-02-01,3.1,3.35,1331.5
2024-03-01,3.1,3.31,1347.2
2024-04-01,2.9,3.44,1382.0
2024-05-01,2.7,3.43,1384.5
2024-06-01,2.4,3.26,1376.7
2024-07-01,2.6,3.08,1376.5
2024-08-01,2.0,2.92,1336.0
2024-09-01,1.6,2.87,1307.8
2024-10-01,1.3,2.91,1379.9
2024-11-01,1.5,2.86,1394.7
2024-12-01,1.9,2.59,1472.5
2025-01-01,2.2,2.57,1452.7
